,Name,Value,DVP,Per 100,RACC
0,Calories,80,,33.33,80
1,Total Fat,0,0,0,0
2,Saturated Fat,0,0,0,0
3,Trans Fat,0,,0,0
4,Cholesterol,5,1%,2.08,5
5,Sodium,110,5%,45.83,110
6,Dietary Fiber,0,0,0,0
7,Sugars,11,,4.58,11
8,Protein,8,17%,3.33,8
9,Potassium,390,11%,162.5,390
10,Vitamin A,,10%,,
11,Vitamin C,,2%,,
12,Calcium,,25%,,
13,Iron,,0,,
14,Vitamin D,,25%,,
15,Fat Cal.,0,,0,0
16,Total Carb.,11,4%,4.58,11
17,Calories From Sat Fat Percent,0,,0,0
18,Calories From Sugar Percent,55,,22.92,55
19,Calories From Fat Percent,0,,0,0
20,Sodium per Calorie,1.38,,0.57,1.38
21,Carbohydrate Exchange,0.73,,,
22,Calories From Carbohydrates Percent,55,,22.92,55
